Membership ID,Loan Number ,group no,share amt,Loan Type,Loan Date,Reason For Loan ,Amount,Rate,months of installements,saving balance,existing loans,Joob,Monthly income,other income,expences,Gurantor 1,Gurantor 2,Gurantor 3,Gurantor 4,reapyment status,status
18-4132,8102,18-5550,no,CUSTOMER LOAN,20/11/2012,FARM HOUSE,"LKR 25,000.00",8,48,LKR 500.00,no,hired working,"LKR 975,000.00","LKR 1,250.00",900000,ok,ok,ok,ok,yes,approved
49-3198,8120,49-15492,"LKR 10,000.00",SELF DEVELOPMENT LOAN,20/11/2017,tea farm,"LKR 100,000.00",8,48,"LKR 3,000.00",no,FARMING,"LKR 38,500.00","LKR 23,000.00",30000,ok,ok,ok,ok,yes,approved
46-1582,8015,46-15330,"LKR 10,000.00",SELF DEVELOPMENT LOAN,20/03/2018,businees,"LKR 100,000.00",12,48,"LKR 6,090.00",no,business,"LKR 6,000.00","LKR 19,000.00",15000,ok,ok,ok,ok,yes,approved
21-344,8018,21-15099,"LKR 10,000.00",SELF DEVELOPMENT LOAN,20/03/2017,self funding business,"LKR 100,000.00",12,48,"LKR 3,400.00",no,business,"LKR 34,000.00","LKR 11,000.00",15000,ok,ok,ok,ok,yes,approved
55-1345,8012,35-15250,"LKR 10,060.00",SELF DEVELOPMENT LOAN,20/03/2018,SEWING AND SELLING,"LKR 100,000.00",12,48,"LKR 4,300.00",no,business,"LKR 4,700.00","LKR 44,500.00",35000,ok,ok,ok,ok,yes,approved
Apr-27,7990,04-15017,"LKR 9,000.00",SELF DEVELOPMENT LOAN,20/03/2019,businees,"LKR 75,000.00",12,24,LKR 999.00,no,business,"LKR 16,500.00","LKR 6,200.00",16000,ok,ok,ok,ok,yes,approved
43-3570,8021,15-201,"LKR 4,000.00",SELF DEVELOPMENT LOAN,20/03/2019,SEWING,"LKR 25,000.00",12,36,LKR 498.00,no,business,"LKR 48,000.00","LKR 33,500.00",50000,ok,ok,ok,ok,yes,approved
30-3862,8008,15-137,"LKR 2,500.00",SELF DEVELOPMENT LOAN,20/03/2018,PEPPER FARMING,"LKR 25,000.00",12,36,LKR 725.00,no,FARMING,"LKR 6,500.00","LKR 55,000.00",50000,ok,ok,ok,ok,yes,approved
29-1013,8009,15-137,"LKR 3,750.00",SELF DEVELOPMENT LOAN,20/03/2018,PEPPER FARMING,"LKR 25,000.00",12,36,LKR 800.00,no,FARMING,"LKR 14,200.00","LKR 42,000.00",10500,ok,ok,ok,ok,yes,approved
41-3383,7980,41-15389,"LKR 5,000.00",SELF DEVELOPMENT LOAN,20/03/2006,BUY GROCERIES ,"LKR 45,000.00",12,36,LKR 975.00,no,business,"LKR 28,000.00","LKR 47,500.00",no,ok,ok,ok,ok,yes,approved
33-600,7986,35-15268,"LKR 11,380.00",SELF DEVELOPMENT LOAN,20/02/2006,BUSINESS,"LKR 50,000.00",12,48,LKR 900.00,yes,business,"LKR 11,500.00","LKR 50,001.00",3600,ok,ok,ok,ok,yes,approved
Apr-05,7989,4-15279,"LKR 7,600.00",SELF DEVELOPMENT LOAN,20/03/2006,BUSINESS,"LKR 75,000.00",12,36,LKR 123.00,no,business,"LKR 5,800.00","LKR 30,500.00",no,ok,ok,ok,ok,yes,approved
43-3666,7971,43-15540,"LKR 3,000.00",SELF DEVELOPMENT LOAN,20/03/2006,BUSINESS,"LKR 36,000.00",12,36,"LKR 3,000.00",no,business,"LKR 5,400.00","LKR 19,500.00",10100,ok,ok,ok,ok,yes,approved
38-3505,8010,38-15113,"LKR 5,600.00",SELF DEVELOPMENT LOAN,20/08/2013,FARM HOUSE,"LKR 50,000.00",12,36,LKR 200.00,no,BUS,no,,no,ok,ok,ok,ok,yes,approved
36-2759,8020,36-15436,"LKR 5,000.00",SELF DEVELOPMENT LOAN,20/08/2013,BUSINESS,"LKR 50,000.00",12,36,LKR 430.00,no,BUSINESS,"LKR 21,500.00","LKR 16,000.00",no,ok,ok,ok,ok,yes,approved
36-2757,8011,36-15436,"LKR 5,000.00",SELF DEVELOPMENT LOAN,20/08/2013,BUSINESS,"LKR 50,000.00",12,36,LKR 600.00,no,BUSINESS,"LKR 6,200.00",LKR 950.00,no,ok,ok,ok,ok,yes,approved
42-3370,8039,42-15349,"LKR 5,000.00",SELF DEVELOPMENT LOAN,20/08/2025,BUSINESS,"LKR 50,000.00",12,36,"LKR 2,000.00",no,BUSINESS,"LKR 92,000.00","LKR 19,500.00",no,ok,ok,ok,ok,yes,approved
33-601,8014,33-598,"LKR 4,830.00",SELF DEVELOPMENT LOAN,20/08/2026,FARMING,"LKR 30,000.00",12,36,LKR 877.45,no,FARMING,"LKR 43,500.00","LKR 20,500.00",no,ok,ok,ok,ok,yes,approved
41-3616,8041,41-15389,"LKR 5,000.00",SELF DEVELOPMENT LOAN,20/08/2026,FARMIN,"LKR 45,000.00",12,36,LKR 340.00,no,FARMING,"LKR 155,000.00","LKR 10,800.00",no,ok,ok,ok,ok,yes,approved
42-2964,8042,42-15337,"LKR 5,400.00",SELF DEVELOPMENT LOAN,20/08/2028,FARMING,"LKR 50,000.00",12,36,"LKR 8,471.07",no,FARMING,"LKR 78,000.00","LKR 43,000.00",no,ok,ok,ok,ok,yes,approved
43-1998,8040,43-15337,"LKR 7,500.00",SELF DEVELOPMENT LOAN,20/08/2028,FARMING,"LKR 50,000.00",12,36,LKR 120.00,no,FARMING,"LKR 118,000.00","LKR 5,800.00",no,ok,ok,ok,ok,yes,approved
Aug-75,8019,08-15394,"LKR 4,030.00",SELF DEVELOPMENT LOAN,20/08/2026,BUSINESS,"LKR 25,000.00",12,36,"LKR 5,000.00",no,FARMING,"LKR 33,000.00","LKR 31,000.00",no,ok,ok,ok,ok,yes,approved
28-3424,8037,28-15519,"LKR 5,100.00",SELF DEVELOPMENT LOAN,20/08/2027,FARMING,"LKR 50,000.00",12,48,"LKR 1,600.00",yes,FARMING,"LKR 145,000.00",no,no,ok,ok,ok,ok,yes,approved
02-60192,9426,02-154368,"LKR 10,000.00",self,25/11/2025,farming,"LKR 100,000.00",12,30,"LKR 4,367.74",no,farming ,"LKR 31,500.00",no,no,ok,ok,ok,ok,yes,rejected
33-60328,9416,33-154372,no,customer,25/10/2011,morgaige,"LKR 50,000.00",13,24,LKR 800.00,yes,driver,"LKR 42,000.00",no,no,ok,ok,ok,ok,yes,rejected
13-3704,9385,,"LKR 21,000.00",CHAKREEYA,,farming,"LKR 200,000.00",12,20,"LKR 1,507.19",yes,farming ,"LKR 162,000.00",no,no,ok,ok,ok,ok,yes,rejected
26-3647,9418,26-15528,no,customer,25/11/2017,morgaige,"LKR 50,000.00",13,20,"LKR 2,000.00",no,farming ,"LKR 63,000.00",no,no,ok,ok,ok,ok,yes,rejected
28-2463,9417,28-15126,no,customer,25/11/2013,morgaige,"LKR 50,000.00",13,20,"LKR 3,400.00",yes,farming ,"LKR 46,000.00",no,no,ok,ok,ok,ok,yes,rejected
Jun-97,9455,6-15481,no,customer,25/11/2019,morgaige,"LKR 50,000.00",13,20,"LKR 2,800.00",no,farming ,"LKR 98,500.00",no,no,ok,ok,ok,ok,yes,rejected
Aug-98,9456,8-15321,no,customer,25/11/2024,morgaige,"LKR 50,000.00",13,20,LKR 800.00,no,farming ,"LKR 27,000.00",no,no,ok,ok,ok,ok,yes,rejected
30-3551,9457,30-15327,no,customer,25/11/2024,CUSTOMER SERVICES,"LKR 50,000.00",13,20,"LKR 12,000.00",no,farming ,"LKR 43,500.00",no,no,ok,ok,ok,ok,yes,rejected
35-2609,9356,35-15318,no,c,25/11/2019,constr,"LKR 50,000.00",13,20,LKR 712.30,no,HIRED WORKING,"LKR 960,000.00",no,no,ok,ok,ok,ok,yes,rejected
39-3922,9415,39-15541,no,customer,25/11/2007,CUSTOMER SERVICES,"LKR 50,000.00",13,48,LKR 602.00,no,farming ,"LKR 720,000.00",no,no,ok,ok,ok,ok,yes,rejected
Feb-95,9424,2-154368,"LKR 10,000.00",self,25/11/2025,farming,"LKR 100,000.00",12,48,LKR 250.00,no,farming ,"LKR 7,800.00",no,no,ok,ok,ok,ok,yes,rejected
16-60480,9397,16-15173,"LKR 10,000.00",self,25/09/2025,busi,"LKR 100,000.00",12,32,"LKR 4,782.00",no,busi,"LKR 2,2000.00","LKR 51,500.00",40000,ok,ok,ok,ok,yes,rejected
36-2943,9351,36-15462,"LKR 16,400.00",self,25/09/2012,busi,"LKR 150,000.00",12,30,LKR 500.00,yes,busi,"LKR 8,400.00","LKR 39,500.00",30000,ok,ok,ok,ok,yes,rejected
33-60328,9393,33-154372,"LKR 15,000.00",self,25/09/2010,busi,"LKR 150,000.00",12,48,"LKR 3,667.00",no,busi,"LKR 5,300.00",no,30000,ok,ok,ok,ok,yes,rejected
16-2381,9398,16-15422,"LKR 12,000.00",self,25/09/2029,farming,"LKR 100,000.00",12,48,"LKR 30,000.00",no,farming ,"LKR 14,500.00",no,10000,ok,ok,ok,ok,yes,rejected
1/3938,10869,no,LKR 100.00,Consumer,05/04/2025,New year ,"LKR 25,000.00",16%,12,LKR 147.95,y,driver,no,,42150,ok,ok,no,no,yes,approved
1/3552,10871,no,LKR 100.00,Consumer,24/05/2025,Buy water tank,"LKR 20,000.00",17%,12,LKR 470.76,y,Manager,no,,12500,ok,ok,no,no,yes,approved
6/327,13843,no,LKR 100.00,Consumer,02/09/2025,Buy water tank,"LKR 20,000.00",17%,12,LKR 356.83,n,n,no,,35800,ok,ok,no,no,yes,approved
5/2153,10870,no,LKR 100.00,Consumer,16/05/2025,Construction,"LKR 20,000.00",17%,12,LKR 557.70,y,clarck,"LKR 250,000.00","LKR 170,200.00",18700,ok,ok,no,no,yes,approved
4/2700,10859,no,LKR 100.00,Consumer,04/04/2025,To buy consumer goods,"LKR 25,000.00",16%,12,LKR 131.67,Y,Manager,"LKR 20,000.00",NO,34500,ok,ok,no,no,yes,approved
1/4032,10860,no,LKR 100.00,Consumer,7/4/2025,Self employment,"LKR 25,000.00",16%,12,LKR 765.00,y,self employemnt,"LKR 25,000.00",no,26800,ok,ok,no,no,yes,approved
1/4141,10861,no,LKR 100.00,Consumer,7/4/2025,New year preparations,"LKR 25,000.00",16%,12,"LKR 1,105.00",y,self employment,"LKR 25,000.00",no,1750,ok,ok,no,no,yes,approved
1/3027,10866,no,LKR 100.00,Consumer,9/4/2025,New year preparations,"LKR 25,000.00",16%,12,LKR 598.95,y,self employment,no,no,12200,ok,ok,no,no,yes,approved
1/4784,10867,no,LKR 100.00,Consumer,11/4/2025,New year preparations,"LKR 25,000.00",16%,12,no,y,supervisor,"LKR 250,000.00",no,no,ok,ok,no,no,yes,approved
1/2774,10868,no,LKR 100.00,Consumer,11/4/2025,New year preparations,"LKR 25,000.00",16%,12,"LKR 4,800.00",y,self employment,"LKR 250,000.00",no,no,ok,ok,no,no,yes,approved
1/4023,10803,no,LKR 100.00,Consumer,04/12/2023,New year preparations,"LKR 25,000.00",26%,12,LKR 581.00,no,no,no,no,no,ok,ok,no,no,no,approved
5/2555,10840,no,LKR 100.00,Consumer,04/09/2024,To buy consumer goods,"LKR 25,000.00",23%,12,LKR 900.00,no,no,no,no,no,ok,ok,no,no,no,approved
7/956,10126,no,LKR 100.00,long term,2/10/1996,for constructions,"LKR 25,000.00",19%,12,no,no,electrician,no,no,no,ok,ok,no,no,no,approved
11/270,10944,no,LKR 100.00,long term,10/11/1993,business purpose,"LKR 10,000.00",18%,12,LKR 50.00,no,businessman,no,no,no,ok,ok,no,no,no,approved
11/352,10948,no,LKR 5.00,long term,6/10/1994,for agricultural purposes,"LKR 10,000.00",18%,12,no,no,farmer,no,no,no,ok,ok,no,no,no,approved
5/405,1021,no,no,long term,29/9/1991,for business purposes,"LKR 10,000.00",20%,12,no,no,businessman,no,no,no,ok,ok,no,no,no,approved
1/4112,10793,no,LKR 100.00,Consumer,29/03/2023,To buy consumer goods,"LKR 25,000.00",16%,12,,no,no,no,no,no,ok,ok,no,no,no,approved
1/3188,10836,no,LKR 100.00,Consumer,03/04/2024,personal,"LKR 25,000.00",23%,12,LKR 546.21,no,no,no,no,no,ok,ok,no,no,no,approved
1/3572,6003-2121-12142,no,100,Consumer,02/08/2021,To buy electric items,250000,60 months(14%),12,LKR 863.20,863.2,0,,,no,ok,ok,no,no,no,approved
1/1734,6003-2121-12153,no,100,Consumer,05/09/2023,To buy household items ,250000,23%,12,"LKR 1,009.00",1009,N,880000,20000,50000,ok,ok,no,no,no,approved
1/3573,12197,no,100,Consumer,11/08/2023,To buy household items ,250000,23%,12,LKR 992.55,992.55,0,N,20000,800000,ok,ok,no,no,no,approved
1/4022,12159,no,100,Consumer,03/01/2024,To buy computer,250000,23%,12,"LKR 1,196.00",1196,0,9600000,50000,800000,ok,ok,no,no,no,approved
9/1450,12162,no,100,Consumer,20/3/2024,To buy computer,250000,23%,12,"LKR 1,000.00",1000,0,20000000,25000,1500000,ok,ok,no,no,no,approved
1/3577,12164,no,100,Consumer,29/5/2024,Mortgage payments,250000,20%,12,"LKR 4,044.94",4044.94,0,2100000,314200,1400000,ok,ok,no,no,no,approved
1/3933,12165,no,100,Consumer,31/5/2024,To buy electric items,200000,20%,12,"LKR 58,331.15",58331.15,22500,2000000,340000,1000000,ok,ok,no,no,no,approved
1/4003,12166,no,100,Consumer,24/6/2024,To buy household items ,250000,20%,12,"LKR 1,317.00",1317,0,10500000,525940,10000000,ok,ok,no,no,no,approved
1/3747,12167,no,100,Consumer,08/02/2024,To buy household items ,250000,20%,12,LKR 368.40,368.4,16000,14000000,720000,800000,ok,ok,no,no,no,approved
1/2063,12168,no,100,Consumer,27/8/2024,To buy electric items,250000,20%,12,"LKR 4,367.74",4367.74,8000,16600000,500000,1600000,ok,ok,no,no,no,approved
1/3724,12169,no,100,Consumer,23/10/2024,To buy electric items,250000,20%,12,LKR 204.97,204.97,71200,700000,600000,1000000,ok,ok,no,no,no,approved
1/3814,12170,no,100,Consumer,23/10/2024,Business purposes,250000,20%,12,LKR 602.00,602,no,2535000,1060000,2500000,ok,ok,no,no,no,approved
1/3110,12171,no,100,Consumer,22/10/2024,Mortgage payments,250000,20%,12,"LKR 1,507.19",1507.19,no,19120000,216000,330000,ok,ok,no,no,no,approved
1/3503,12172,no,100,Consumer,27/11/2024,To buy household items ,250000,20%,12,LKR 877.45,877.45,0,3150000,400000,3150000,ok,ok,no,no,no,approved
1/2581,12173,no,100,Consumer,23/1/2025,contruction repair ,250000,20%,12,"LKR 8,471.07",8471.07,no,no,no,no,ok,ok,no,no,no,approved
1/3480,12174,no,100,Consumer,23/5/2025,contruction repair ,250000,17%,12,LKR 513.00,513,no,1500000,500000,1900000,ok,ok,no,no,no,approved
1/3540,12175,no,100,Consumer,24/6/2025,Mortgage payments,200000,17%,12,LKR 784.10,784.1,no,1250000,420000,1250000,ok,ok,no,no,no,approved
1/4153,12176,no,100,Consumer,24/7/2025,To buy household items ,250000,17%,12,"LKR 1,048.00",1048,17500,8400000,900000,9000000,ok,ok,no,no,no,approved
1/4231,12177,no,100,Consumer,24/7/2025,to sell mobilephomes,250000,17%,12,LKR 608.00,608,no,410000,420000,60000,ok,ok,no,no,no,approved
,12178,no,100,Consumer,26/07/2025,To buy computer,250000,17%,12,LKR 368.40,,,,,,ok,ok,no,no,no,approved
,12179,no,100,Consumer,26/07/2025,To buy computer,250000,17%,12,"LKR 4,367.74",,,,,,ok,ok,no,no,no,approved
,12180,no,100,Consumer,29/07/2025,Mortgage payments,250000,17%,12,LKR 204.97,,,,,,ok,ok,no,no,no,approved
1/4061,12181,no,100,Consumer,12/08/2025,To buy electric items,250000,17%,12,04/07/2022,3667,no,22500000,150000,19500000,ok,ok,no,no,no,approved
3/2663,10291,no,100,Consumer,20/10/2025,to buy land,1500000,13%,12,31/08/2014,3507.68,no,15500000,1450000,1400000,ok,ok,no,no,no,approved
1/2512,12296,no,100,EPF,21/03/2025,To buy household items ,250000,14%,12,28/05/2020,33.63,119800,400000,180000,35000,ok,ok,no,no,no,approved
1/3692,10302,no,100,EPF,20/11/2024,Mortgage payments,250000,13%,12,31/8/2014,142.86,n,5300000,75000,500000,ok,ok,no,no,no,approved
,,,,,,,,,,,,,,,,,,,,,
